### Run 0
1749538796.3730,21129,9893
1749538796.6170,41694,9105
1749538796.8690,35715,9202
1749538797.1190,36531,9399
1749538797.3690,36215,9202
1749538797.6200,35736,9007
1749538797.8700,40278,9398
1749538798.1180,35171,9593
1749538798.3690,34850,9791
1749538798.6200,35240,9202
1749538798.8690,35963,9399
1749538799.1200,33454,9202
1749538799.3700,36236,9790
1749538799.6200,36526,9301
1749538799.8710,35884,9202
1749538800.1210,36454,9399
1749538800.3700,36158,9593
1749538800.6210,36564,9105
1749538800.8710,36638,11257
1749538801.1210,36062,9790
1749538801.3710,36512,9202
1749538801.6210,36550,9008
1749538801.8710,36612,9888
1749538802.1230,35850,9691
1749538802.3720,35313,9105
1749538802.6220,36308,9105
1749538802.8720,36575,10182
1749538803.1200,36477,9007
1749538803.3710,36118,9399
1749538803.6220,36843,9301
1749538803.8730,35795,10279
1749538804.1230,35985,9301
1749538804.3730,36735,9302
1749538804.6230,36794,9204
1749538804.8730,36143,10181
1749538805.1230,36906,9301
1749538805.3730,37187,9105
1749538805.6210,36144,9008
1749538805.8730,36055,9496
1749538806.1230,36838,9399
1749538806.3730,36545,9691
1749538806.6230,36566,9496
1749538806.8730,37010,9399
1749538807.1240,36277,9790
1749538807.3740,36416,9985
1749538807.6240,37144,9593
1749538807.8740,36596,9593
1749538808.1240,36254,9888
1749538808.3740,36436,9888
1749538808.6230,36999,9399
1749538808.8750,36541,9593
1749538809.1250,36396,9691
1749538809.3740,36861,10084
1749538809.6220,36283,9204
1749538809.8750,35164,9694
1749538810.1250,36957,9888
1749538810.3750,36709,9593
1749538810.6250,36089,9593
1749538810.8750,36425,9595
1749538811.1260,37266,9888
1749538811.3760,36206,9596
1749538811.6260,36587,9595
1749538811.8760,36736,9496
1749538812.1260,35463,9496
1749538812.3760,36340,9399
1749538812.6260,37299,9496
1749538812.8760,36068,9399
1749538813.1240,36314,9790
1749538813.3760,34625,9399
1749538813.6260,34980,9399
1749538813.8770,35205,9302
1749538814.1270,37078,9593
1749538814.3770,36328,9593
1749538814.6270,36596,9593
1749538814.8770,37184,9496
1749538815.1280,35963,9790
1749538815.3770,36706,9496
1749538815.6270,37454,9496
1749538815.8780,35973,9496
1749538816.1280,36773,9593
1749538816.3780,37539,9593
1749538816.6260,36527,9593
1749538816.8750,35736,9691
1749538817.1250,37365,9496
1749538817.3770,35273,9691
1749538817.6280,35944,9496
1749538817.8780,37012,9401
1749538818.1280,36622,9301
1749538818.3790,36269,9301
1749538818.6260,36600,9496
1749538818.8790,36996,9202
1749538819.1290,35274,9301
1749538819.3790,36820,9302
1749538819.6290,37866,9496
1749538819.8770,36148,9595
1749538820.1290,35903,9105
1749538820.3790,37718,9301
1749538820.6290,36255,9202
1749538820.8790,36858,9496
1749538821.1300,37386,9399
1749538821.3800,36150,9301
1749538821.6300,36129,9202
1749538821.8800,37446,9593
1749538822.1290,35303,9399
1749538822.3790,35481,9593
1749538822.6300,37378,9399
1749538822.8800,36133,9202
1749538823.1310,35380,9205
1749538823.3810,37359,9105
1749538823.6310,36409,9105
1749538823.8810,36971,9496
1749538824.1310,36935,9496
1749538824.3810,35815,9301
1749538824.6300,36822,9107
1749538824.8810,36454,9496
1749538825.1290,35779,9202
1749538825.3820,36944,9691
1749538825.6290,35956,9301
1749538825.8790,35958,9301
1749538826.1320,36213,9399
1749538826.3790,35961,9691
1749538826.6290,35302,9398
1749538826.8800,36591,9202
1749538827.1320,35462,9593
1749538827.3820,36375,9593
1749538827.6320,37327,9399
1749538827.8820,35317,9202
1749538828.1330,36173,9202
1749538828.3830,35947,9496
1749538828.6330,36456,9496
1749538828.8830,35174,9105
1749538829.1300,37242,9593
1749538829.3810,36368,9399
1749538829.6320,35618,9205
1749538829.8830,36212,9399
1749538830.1330,35598,9496
1749538830.3840,36476,9398
1749538830.6330,35725,9496
1749538830.8840,35980,9105
1749538831.1340,37331,9202
1749538831.3840,35544,9399
1749538831.6340,36339,9496
1749538831.8830,36977,9105
1749538832.1340,35811,9399
1749538832.3840,36644,9301
1749538832.6340,37491,9202
1749538832.8840,35602,9202
1749538833.1350,36883,9107
1749538833.3850,37421,9694
1749538833.6350,35886,9399
1749538833.8850,35341,9205
1749538834.1350,37322,9301
1749538834.3830,35043,9595
1749538834.6330,36339,9107
1749538834.8850,36994,9399
1749538835.1360,36038,9399
1749538835.3850,36800,9399
1749538835.6360,37173,9399
1749538835.8860,36240,9399
1749538836.1360,36102,9302
1749538836.3860,37039,9202
1749538836.6360,35942,9593
1749538836.8860,36456,9399
1749538837.1360,37339,9399
1749538837.3860,35884,9496
1749538837.6340,36805,9301
1749538837.8870,35804,9399
1749538838.1370,36604,9399
1749538838.3870,37144,9593
1749538838.6370,36261,9301
1749538838.8870,36555,9202
