### Run 0
1749563010.5750,18503,10873
1749563010.8190,42765,9204
1749563011.0710,36045,9202
1749563011.3210,34458,9202
1749563011.5710,35981,9301
1749563011.8220,35603,9105
1749563012.0720,41417,9105
1749563012.3230,30124,9306
1749563012.5720,27393,9008
1749563012.8190,23494,9111
1749563013.0720,25852,9209
1749563013.3210,21927,9307
1749563013.5710,21228,15755
1749563013.8200,25661,15852
1749563014.0700,25782,15561
1749563014.3230,21017,11166
1749563014.5710,21541,9209
1749563014.8220,26396,15852
1749563015.0730,23386,15561
1749563015.3210,23297,15759
1749563015.5710,22728,8915
1749563015.8230,22608,8914
1749563016.0730,26591,8718
1749563016.3210,26583,9012
1749563016.5730,26092,8720
1749563016.8240,25541,9008
1749563017.0730,27860,9110
1749563017.3240,26934,9008
1749563017.5740,27713,8915
1749563017.8230,28826,9208
1749563018.0730,28157,9112
1749563018.3240,29156,9007
1749563018.5730,29672,8915
1749563018.8220,29371,9013
1749563019.0740,27507,9009
1749563019.3240,26912,9107
1749563019.5740,29943,9009
1749563019.8220,30349,9302
1749563020.0750,27886,9112
1749563020.3250,26873,9107
1749563020.5750,28332,8719
1749563020.8240,30034,9111
1749563021.0750,25871,9013
1749563021.3240,22648,8817
1749563021.5730,26098,9209
1749563021.8260,26824,9306
1749563022.0730,29568,9111
1749563022.3260,29091,9107
1749563022.5750,29464,8916
1749563022.8240,30402,9205
1749563023.0760,26317,9107
1749563023.3240,29985,9013
1749563023.5750,30116,10475
1749563023.8270,40446,8225
1749563024.0770,44404,7737
1749563024.3270,44188,8029
1749563024.5770,37170,8325
1749563024.8260,33041,8132
1749563025.0770,30552,7931
1749563025.3270,31382,8035
1749563025.5770,32082,8129
1749563025.8270,31109,8227
1749563026.0750,31929,8129
1749563026.3260,28637,8035
1749563026.5770,31046,8035
1749563026.8250,30893,8427
1749563027.0770,30729,8035
1749563027.3270,32069,8031
1749563027.5760,28420,8128
1749563027.8260,29146,8426
1749563028.0780,30906,7938
1749563028.3280,30144,8132
1749563028.5780,31158,7934
1749563028.8270,31760,8227
1749563029.0760,31658,8132
1749563029.3260,29902,8132
1749563029.5780,31901,7938
1749563029.8290,30395,8427
1749563030.0790,31481,8031
1749563030.3290,31900,7934
1749563030.5780,32612,8031
1749563030.8290,28768,8326
1749563031.0800,31894,8032
1749563031.3300,32775,8128
1749563031.5780,32591,8132
1749563031.8290,28832,8328
1749563032.0790,30817,8031
1749563032.3290,32935,8032
1749563032.5800,27556,8032
1749563032.8300,32581,8325
1749563033.0800,32256,7931
1749563033.3280,32893,7934
1749563033.5780,33053,8132
1749563033.8300,30350,8519
1749563034.0780,33614,7938
1749563034.3310,30547,8032
1749563034.5780,32250,7839
1749563034.8300,31337,8519
1749563035.0790,33567,8231
1749563035.3300,31740,8132
1749563035.5810,27381,8132
1749563035.8320,32286,8132
1749563036.0800,32279,8328
1749563036.3300,31463,8129
1749563036.5820,32126,7836
1749563036.8320,33274,7934
1749563037.0820,32518,8032
1749563037.3320,32673,8031
1749563037.5820,32179,7934
1749563037.8320,32020,8035
1749563038.0800,32756,8132
1749563038.3330,28634,8421
1749563038.5800,32964,7938
1749563038.8320,31548,8128
1749563039.0830,31917,7938
1749563039.3300,33967,8132
1749563039.5830,28324,8035
1749563039.8320,33876,7938
1749563040.0800,33120,8035
1749563040.3330,33726,8130
1749563040.5830,32712,8228
1749563040.8330,34196,8129
1749563041.0830,33132,8029
1749563041.3310,33400,7937
1749563041.5840,32218,8128
1749563041.8330,32437,8324
1749563042.0820,33403,7937
1749563042.3340,33727,8029
1749563042.5840,33785,8032
1749563042.8340,33066,8519
1749563043.0820,34024,8032
1749563043.3330,32848,8031
1749563043.5820,33720,7937
1749563043.8340,29326,8427
1749563044.0840,32815,7931
1749563044.3340,34014,7934
1749563044.5840,33432,8132
1749563044.8350,33500,8422
1749563045.0840,33130,8035
1749563045.3350,32900,8128
1749563045.5850,33067,7839
1749563045.8350,34327,8422
1749563046.0830,28459,8230
1749563046.3340,30534,8231
1749563046.5860,33441,8129
1749563046.8340,33621,8328
1749563047.0850,31859,8129
1749563047.3330,33907,8132
1749563047.5860,31019,8032
1749563047.8350,34232,8031
1749563048.0840,29801,8035
1749563048.3360,32710,8032
1749563048.5860,34878,8128
1749563048.8360,31618,8231
1749563049.0850,32948,8128
1749563049.3340,33996,7937
1749563049.5860,29118,7937
1749563049.8370,33391,8032
1749563050.0850,33845,7938
1749563050.3370,32354,8129
1749563050.5870,34705,7835
1749563050.8370,33702,7934
1749563051.0880,33198,8227
1749563051.3370,34402,7835
1749563051.5870,31314,7937
1749563051.8380,34163,7933
1749563052.0850,33710,8227
1749563052.3380,31457,7938
1749563052.5880,33783,8129
1749563052.8380,34875,8130
1749563053.0860,31838,8035
1749563053.3380,32396,8029
1749563053.5890,33741,8031
1749563053.8380,34577,7837
1749563054.0880,33482,8035
1749563054.3390,33240,7934
1749563054.5890,33532,8029
1749563054.8380,33569,8229
1749563055.0870,32405,8035
1749563055.3380,31370,7938
1749563055.5890,33900,8031
1749563055.8390,35040,8032
1749563056.0870,32388,8035
1749563056.3380,32136,8132
1749563056.5900,33389,8032
1749563056.8400,33889,7934
1749563057.0870,34483,8230
1749563057.3390,32860,7938
1749563057.5900,33725,8029
1749563057.8400,33905,8225
1749563058.0900,34485,7933
1749563058.3380,33943,7644
1749563058.5890,32124,8036
1749563058.8400,32759,8035
1749563059.0910,33744,7931
1749563059.3400,34824,8029
